label,location,source_wav_relpath,start_s,duration_s,clip_wav_relpath
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,5573.1167,4.0,pos/korup/kp01_20130621_000000_pos_5573_0.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,10537.9623,4.0,pos/korup/kp01_20130621_000000_pos_10538_1.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,23776.570200000002,4.0,pos/korup/kp01_20130621_000000_pos_23777_2.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,23866.24,4.0,pos/korup/kp01_20130621_000000_pos_23866_3.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,23886.8568,4.0,pos/korup/kp01_20130621_000000_pos_23887_4.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,24607.362500000003,4.0,pos/korup/kp01_20130621_000000_pos_24607_5.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,25881.3623,4.0,pos/korup/kp01_20130621_000000_pos_25881_6.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,27999.4715,4.0,pos/korup/kp01_20130621_000000_pos_27999_7.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130621_000000.wav,58207.2388,4.0,pos/korup/kp01_20130621_000000_pos_58207_8.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130816_000000.wav,12618.315499999999,4.0,pos/korup/kp01_20130816_000000_pos_12618_9.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130816_000000.wav,14664.121,4.0,pos/korup/kp01_20130816_000000_pos_14664_10.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130816_000000.wav,18572.8532,4.0,pos/korup/kp01_20130816_000000_pos_18573_11.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130908_000000.wav,25419.499,4.0,pos/korup/kp01_20130908_000000_pos_25419_12.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130908_000000.wav,25446.2953,4.0,pos/korup/kp01_20130908_000000_pos_25446_13.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130908_000000.wav,29031.1928,4.0,pos/korup/kp01_20130908_000000_pos_29031_14.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130908_000000.wav,29055.036,4.0,pos/korup/kp01_20130908_000000_pos_29055_15.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20130925_000000.wav,25968.0105,4.0,pos/korup/kp01_20130925_000000_pos_25968_16.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131006_000000.wav,19976.382700000002,4.0,pos/korup/kp01_20131006_000000_pos_19976_17.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131006_000000.wav,26808.839200000002,4.0,pos/korup/kp01_20131006_000000_pos_26809_18.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131006_000000.wav,28057.202500000003,4.0,pos/korup/kp01_20131006_000000_pos_28057_19.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131006_000000.wav,29068.5937,4.0,pos/korup/kp01_20131006_000000_pos_29069_20.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131006_000000.wav,58936.3167,4.0,pos/korup/kp01_20131006_000000_pos_58936_21.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131006_000000.wav,65758.06349999999,4.0,pos/korup/kp01_20131006_000000_pos_65758_22.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131006_000000.wav,72594.32269999999,4.0,pos/korup/kp01_20131006_000000_pos_72594_23.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131018_000000.wav,9486.7173,4.0,pos/korup/kp01_20131018_000000_pos_9487_24.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131018_000000.wav,21214.349000000002,4.0,pos/korup/kp01_20131018_000000_pos_21214_25.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131018_000000.wav,25315.1428,4.0,pos/korup/kp01_20131018_000000_pos_25315_26.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131219_000000.wav,73531.37049999999,4.0,pos/korup/kp01_20131219_000000_pos_73531_27.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131219_000000.wav,78317.6415,4.0,pos/korup/kp01_20131219_000000_pos_78318_28.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131219_000000.wav,80023.8235,4.0,pos/korup/kp01_20131219_000000_pos_80024_29.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131219_000000.wav,81053.3612,4.0,pos/korup/kp01_20131219_000000_pos_81053_30.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131219_000000.wav,81597.764,4.0,pos/korup/kp01_20131219_000000_pos_81598_31.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20131219_000000.wav,81728.47499999999,4.0,pos/korup/kp01_20131219_000000_pos_81728_32.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,347.22549999999995,4.0,pos/korup/kp01_20140312_000002_pos_347_33.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,933.406,4.0,pos/korup/kp01_20140312_000002_pos_933_34.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,1131.9207000000001,4.0,pos/korup/kp01_20140312_000002_pos_1132_35.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,1210.642,4.0,pos/korup/kp01_20140312_000002_pos_1211_36.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,2639.745,4.0,pos/korup/kp01_20140312_000002_pos_2640_37.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,2908.7488000000003,4.0,pos/korup/kp01_20140312_000002_pos_2909_38.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,3153.641,4.0,pos/korup/kp01_20140312_000002_pos_3154_39.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,3191.5735,4.0,pos/korup/kp01_20140312_000002_pos_3192_40.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,3202.6655,4.0,pos/korup/kp01_20140312_000002_pos_3203_41.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,3487.1252,4.0,pos/korup/kp01_20140312_000002_pos_3487_42.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,6115.8967999999995,4.0,pos/korup/kp01_20140312_000002_pos_6116_43.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,9558.7495,4.0,pos/korup/kp01_20140312_000002_pos_9559_44.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,11162.1075,4.0,pos/korup/kp01_20140312_000002_pos_11162_45.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,11212.245799999999,4.0,pos/korup/kp01_20140312_000002_pos_11212_46.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,11803.859,4.0,pos/korup/kp01_20140312_000002_pos_11804_47.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,12763.3912,4.0,pos/korup/kp01_20140312_000002_pos_12763_48.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,13217.4637,4.0,pos/korup/kp01_20140312_000002_pos_13217_49.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,13291.5995,4.0,pos/korup/kp01_20140312_000002_pos_13292_50.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,13317.859,4.0,pos/korup/kp01_20140312_000002_pos_13318_51.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140312_000002.wav,14698.687,4.0,pos/korup/kp01_20140312_000002_pos_14699_52.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140520_000000.wav,17319.0308,4.0,pos/korup/kp01_20140520_000000_pos_17319_53.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140520_000000.wav,67343.178,4.0,pos/korup/kp01_20140520_000000_pos_67343_54.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140520_000000.wav,69885.47899999999,4.0,pos/korup/kp01_20140520_000000_pos_69885_55.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140520_000000.wav,70424.6247,4.0,pos/korup/kp01_20140520_000000_pos_70425_56.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140520_000000.wav,73986.05399999999,4.0,pos/korup/kp01_20140520_000000_pos_73986_57.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140520_000000.wav,77888.605,4.0,pos/korup/kp01_20140520_000000_pos_77889_58.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20140520_000000.wav,78396.28899999999,4.0,pos/korup/kp01_20140520_000000_pos_78396_59.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20141221_000000.wav,76089.81319999999,4.0,pos/korup/kp01_20141221_000000_pos_76090_60.wav
pos,korup,Gunshot/Testing/Korup/Sounds/kp01_20141221_000000.wav,76385.25069999999,4.0,pos/korup/kp01_20141221_000000_pos_76385_61.wav
