split,label,location,source_wav_relpath,clip_wav_relpath
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_10038353_48.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_1016000_61.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_10742353_34.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_1076000_27.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_10774353_39.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_10826353_69.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_10978353_44.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_11162353_4.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_11614353_68.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_11766353_10.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_1188000_71.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_1208000_72.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_12218353_15.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_12430353_13.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_1284000_25.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_12954353_31.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_13162353_45.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_13310353_26.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_14062353_67.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_14066353_51.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_14074353_2.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_14154353_9.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_1416000_5.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_14554353_59.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_14782353_70.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_14786353_14.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_15338353_12.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_2196000_24.wav
test,neg,ecoguns,Gunshot/Training/ecoguns/Sounds/mix1000_20161105_093314.wav,neg/ecoguns/mix1000_20161105_093314_neg_276000_63.wav
